Product Name,Price,% Offer,Rating,Product URL
"Redmi 6 Pro (Red, 32 GB)","₹7,999",30% off,4.3,/redmi-6-pro-red-32-gb/p/itmfdswrffgpqv7z?pid=MOBFBH5TJDMD4GZN&srno=s_2_25&otracker=search&otracker1=search&lid=LSTMOBFBH5TJDMD4GZNEPDUOH&fm=SEARCH&iid=73e60fb8-6226-463e-8e9a-5fa3c525b0db.MOBFBH5TJDMD4GZN.SEARCH&ppt=sp&ppn=sp&ssid=89wb9bmqmo0000001575274125969&qH=3409e388c033669e
"Redmi 6 Pro (Lake Blue, 64 GB)","₹9,664",11% off,4.3,/redmi-6-pro-lake-blue-64-gb/p/itmfdswrffgpqv7z?pid=MOBFBH5TN3NGYZFW&srno=s_2_26&otracker=search&otracker1=search&lid=LSTMOBFBH5TN3NGYZFW3MWMHM&fm=SEARCH&iid=7d53bd3d-7075-4dfe-9e05-c7cf38d4e440.MOBFBH5TN3NGYZFW.SEARCH&ppt=sp&ppn=sp&ssid=89wb9bmqmo0000001575274125969&qH=3409e388c033669e
"Redmi Note 5 Pro (Black, 64 GB)","₹12,999",13% off,4.5,/redmi-note-5-pro-black-64-gb/p/itmf2fc3xgmxnhpx?pid=MOBF28FTQPHUPX83&srno=s_2_27&otracker=search&otracker1=search&lid=LSTMOBF28FTQPHUPX83H7IIOZ&fm=SEARCH&iid=8f69e5a8-de30-4ca7-8265-e7169ac047ba.MOBF28FTQPHUPX83.SEARCH&ppt=sp&ppn=sp&ssid=89wb9bmqmo0000001575274125969&qH=3409e388c033669e
"Redmi Y2 (Gold, 32 GB)","₹8,490",5% off,4.5,/redmi-y2-gold-32-gb/p/itmfdkcmfrg8ysmz?pid=MOBF7WPMVZHB5WKY&srno=s_2_28&otracker=search&otracker1=search&lid=LSTMOBF7WPMVZHB5WKYG4JJBM&fm=SEARCH&iid=72ea51b4-b886-4018-a0db-7a774452ef59.MOBF7WPMVZHB5WKY.SEARCH&ppt=sp&ppn=sp&ssid=89wb9bmqmo0000001575274125969&qH=3409e388c033669e
"Redmi 6A (Black, 16 GB)","₹5,590",20% off,4.3,/redmi-6a-black-16-gb/p/itmfe8z8brbc6kyy?pid=MOBF9H95RFHUNBQZ&srno=s_2_29&otracker=search&otracker1=search&lid=LSTMOBF9H95RFHUNBQZYXNAPV&fm=SEARCH&iid=ba875307-3505-4099-8a7a-30e3daa96e05.MOBF9H95RFHUNBQZ.SEARCH&ppt=sp&ppn=sp&ssid=89wb9bmqmo0000001575274125969&qH=3409e388c033669e
"Redmi 6 Pro (Lake Blue, 32 GB)","₹8,249",8% off,4.3,/redmi-6-pro-lake-blue-32-gb/p/itmfdswrffgpqv7z?pid=MOBFBH5TCNPPGCEQ&srno=s_2_30&otracker=search&otracker1=search&lid=LSTMOBFBH5TCNPPGCEQFRYUAW&fm=SEARCH&iid=fbffc1b8-61bc-4a95-862e-8b004df752b9.MOBFBH5TCNPPGCEQ.SEARCH&ppt=sp&ppn=sp&ssid=89wb9bmqmo0000001575274125969&qH=3409e388c033669e
"Redmi Y2 (Gold, 64 GB)","₹9,345",8% off,4.4,/redmi-y2-gold-64-gb/p/itmfdkcmzchdrf3m?pid=MOBF7Y2DKUBEDUWH&srno=s_2_31&otracker=search&otracker1=search&lid=LSTMOBF7Y2DKUBEDUWHVVU32X&fm=SEARCH&iid=1875691f-8192-49ec-aa6d-4af0f7ae5e02.MOBF7Y2DKUBEDUWH.SEARCH&ppt=sp&ppn=sp&ssid=89wb9bmqmo0000001575274125969&qH=3409e388c033669e
"Redmi Y2 (Rose Gold, 64 GB)","₹9,795",18% off,4.4,/redmi-y2-rose-gold-64-gb/p/itmfdkcmswtpjb7n?pid=MOBF87QWYCKESZXR&srno=s_2_32&otracker=search&otracker1=search&lid=LSTMOBF87QWYCKESZXR5YSFKA&fm=SEARCH&iid=8e7673c6-71a6-4ae5-9534-2eb731b4a2d4.MOBF87QWYCKESZXR.SEARCH&ppt=sp&ppn=sp&ssid=89wb9bmqmo0000001575274125969&qH=3409e388c033669e
"Redmi 5 (Lake Blue, 64 GB)","₹8,490",29% off,4.3,/redmi-5-lake-blue-64-gb/p/itmf9gjw8gy9vfv3?pid=MOBFGW6NCGYUFTYU&srno=s_2_33&otracker=search&otracker1=search&lid=LSTMOBFGW6NCGYUFTYUONRJFO&fm=SEARCH&iid=97caf741-25b9-4e90-83a3-b9d6d9c9b223.MOBFGW6NCGYUFTYU.SEARCH&ppt=sp&ppn=sp&ssid=89wb9bmqmo0000001575274125969&qH=3409e388c033669e
"Redmi 6 (Rose Gold, 32 GB)","₹7,999",11% off,4.4,/redmi-6-rose-gold-32-gb/p/itmf9f64fpjkbdxp?pid=MOBF9F64HGNTYHDB&srno=s_2_34&otracker=search&otracker1=search&lid=LSTMOBF9F64HGNTYHDBUDJIJ2&fm=SEARCH&iid=431b888c-30b6-4830-87ef-e71610908ea8.MOBF9F64HGNTYHDB.SEARCH&ppt=sp&ppn=sp&ssid=89wb9bmqmo0000001575274125969&qH=3409e388c033669e
